id,source_id,collection,language,model,source_collection,unit_type,original,rewritten,delta,change_pct,known_failed_output
plainvoice-enrichment-svo-v3:b57ea8b5ea5aa2ec4089a639,mcts-references:37486a5e16a90e0b9dc084fc,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,21,29,8,38.095238095238095,False
plainvoice-enrichment-svo-v3:2ceb0fc90cee09c42b0ca902,iterater-human-doc:28e11c80709c409fd752f106,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,51,57,6,11.764705882352944,False
plainvoice-enrichment-svo-v3:b6c3ce55b07f23d29543d440,asset-references:072379e5fcce58d570aca2b1,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,7,7,0,0.0,False
plainvoice-enrichment-svo-v3:740ced478a8f30cb5e0945cd,arxivedits-alignment:89df390ebe4aae53256603d4,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,36,36,0,0.0,False
plainvoice-enrichment-svo-v3:e5d08fe99342e81c4b6164cb,mcts-references:160d5e9a62c1e7d5e241c9c6,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,28,37,9,32.14285714285714,False
plainvoice-enrichment-svo-v3:04d878e52a1d1f557cf94276,mcts-references:53a191dbf1e6049f5865ec2f,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,36,49,13,36.111111111111114,False
plainvoice-enrichment-svo-v3:03ea7a7dab9cc86624b5160f,mcts-references:3804fc3fe97b99553176ffe7,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,39,39,0,0.0,False
plainvoice-enrichment-svo-v3:80c9a335acdebf9c9abc5c62,coedit:72d1ccb53bd256d665803eb7,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,32,37,5,15.625,False
plainvoice-enrichment-svo-v3:a4348051212364759ca41575,mcts-references:e616d537653ac45acb07949e,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,75,88,13,17.333333333333336,False
plainvoice-enrichment-svo-v3:79f5cc9534f4038f0d99fa1b,mcts-references:f323f9b12a736f19aaa6ab9c,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,39,41,2,5.128205128205132,False
plainvoice-enrichment-svo-v3:961a6c46a14fa3fd2222aedc,arxivedits-alignment:04347cb7b2ca09f6aa1a63f3,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,18,18,0,0.0,False
plainvoice-enrichment-svo-v3:57058ce40e4a630c732bf908,iterater-human-doc:8daf9e6588aba41e51afd882,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,81,93,12,14.814814814814813,False
plainvoice-enrichment-svo-v3:b24b0d94fc4a529e4f828028,mcts-references:9134634a907837e097daaeef,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,55,53,-2,-3.6363636363636376,False
plainvoice-enrichment-svo-v3:87468f8d4d66455cee707a74,mcts-references:23ab32424469643ab50e770c,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,57,57,0,0.0,False
plainvoice-enrichment-svo-v3:3d3d86130258716bbcb28978,coedit:586e4fc3752f054135ceeb9c,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,27,30,3,11.111111111111116,False
plainvoice-enrichment-svo-v3:49f9702f81d1a13a4c5c3c2c,mcts-references:d151502f29d1a864095987f1,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,25,24,-1,-4.0000000000000036,False
plainvoice-enrichment-svo-v3:2b55020e15111a8081476719,asset-references:85b3e212fc29dc14fabb2082,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,18,16,-2,-11.111111111111116,False
plainvoice-enrichment-svo-v3:bcdd5d7918d0a9daae67ccda,mcts-references:c23e0f4140c3dfdac0a766da,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,36,44,8,22.222222222222232,False
plainvoice-enrichment-svo-v3:217119674931783a1a2c9a11,arxivedits-alignment:625d2d41d863346b95775166,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,30,34,4,13.33333333333333,False
plainvoice-enrichment-svo-v3:212a4b86b633614caf4d9f9a,mcts-references:147e54cfa8136aca98a19b1b,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,54,48,-6,-11.111111111111116,False
plainvoice-enrichment-svo-v3:a714d9891038ef7c47cbe6c8,asset-references:5c624c08cab10431dacbb453,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,15,15,0,0.0,False
plainvoice-enrichment-svo-v3:05083a3b23a284b93066b81b,coedit:1fb465e8dea13ff180070c20,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,32,34,2,6.25,False
plainvoice-enrichment-svo-v3:37c0dd34149fe05b0cacf61b,iterater-human-doc:24732c95c83d1996b01fabc9,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,140,144,4,2.857142857142847,False
plainvoice-enrichment-svo-v3:5fa54dc626afa8809f1ddb30,mcts-references:518d36a95656fc4b341f4ab3,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,86,92,6,6.976744186046502,False
plainvoice-enrichment-svo-v3:c4248a47837b3f2d2087b49e,arxivedits-alignment:a5d635b35851a1bf98aeb612,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,21,20,-1,-4.761904761904767,False
plainvoice-enrichment-svo-v3:cc377157d07602f7375e8854,mcts-references:fdf71d62d7ea4e4bc6cb3123,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,23,25,2,8.695652173913038,False
plainvoice-enrichment-svo-v3:3224cc34ca37589de082901a,mcts-references:572429bb10671eda0332274a,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,68,77,9,13.235294117647056,False
plainvoice-enrichment-svo-v3:8007f25f31cc8b3ae0fdf409,mcts-references:86071cec2da83ac0e5b9d940,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,26,25,-1,-3.8461538461538436,False
plainvoice-enrichment-svo-v3:2d4523f2a94a843c0cb58221,asset-references:5123f348d0faa876c0b0f9b8,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,14,14,0,0.0,False
plainvoice-enrichment-svo-v3:d2b7a752698ece67ec45d5fb,iterater-human-doc:b7314e7f66f159920aabb153,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,120,118,-2,-1.6666666666666718,False
